1st Quarter 2025,,,,,,,,,,,,,,,,
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen,Hythane
,,,Diesel,,,,,,,,,,,,,
ALBERTA #14,U.S.,$ 0.3458 ,$ 0.3458 ,$ 0.3458 ,$ 0.2500 ,$-,$-,$ 0.3458 ,$ 0.3458 ,$ 0.3458 ,$ 0.3458 ,$ 0.3458 ,$ 0.3458 ,$-,$-,$-
,Can,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$ 0.0940 ,$-,$-,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$-,$-,$-
,,,,,,,,,,,,,,,,
BRITISH COLUMBIA #13,U.S.,$ 0.8541 ,$ 0.9507 ,$ 0.8541 ,$ 0.4011 ,$ 0.5703 ,$ 0.4056 ,$ 0.8541 ,$ 0.2335 ,$ 0.8541 ,$ 0.2687 ,$ 0.9507 ,$ 0.9507 ,$-,$-,$-
,Can,$ 0.3211 ,$ 0.3574 ,$ 0.3211 ,$ 0.1508 ,$ 0.2144 ,$ 0.1525 ,$ 0.3211 ,$ 0.0878 ,$ 0.3211 ,$ 0.1010 ,$ 0.3574 ,$ 0.3574 ,$-,$-,$-
,,,,,,,,,,,,,,,,
MANITOBA #17,U.S.,$ 0.3325 ,$ 0.3325 ,$ 0.3325 ,$ 0.0798 ,$ 0.2394 ,$ 0.2394 ,$ 0.3325 ,$ 0.3325 ,$ 0.3325 ,$ 0.3325 ,$ 0.3325 ,$ 0.3325 ,$-,$-,$ 0.3325 
,Can,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$ 0.0300 ,$ 0.0900 ,$ 0.0900 ,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$-,$-,$ 0.1250 
,,,,,,,,,,,,,,,,
NEW BRUNSWICK ,U.S.,$ 0.2891 ,$ 0.4110 ,$ 0.2891 ,$ 0.1782 ,$ 0.4110 ,$ 0.4110 ,$ 0.2891 ,$ 0.2891 ,$ 0.2891 ,$ 0.2891 ,$ 0.4110 ,$ 0.4110 ,$-,$-,$-
,Can,$ 0.1087 ,$ 0.1545 ,$ 0.1087 ,$ 0.0670 ,$ 0.1545 ,$ 0.1545 ,$ 0.1087 ,$ 0.1087 ,$ 0.1087 ,$ 0.1087 ,$ 0.1545 ,$ 0.1545 ,$-,$-,$-
,,,,,,,,,,,,,,,,
NEWFOUNDLAND ,U.S.,$ 0.1995 ,$ 0.2527 ,$-,$ 0.1862 ,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,Can,$ 0.0750 ,$ 0.0950 ,$-,$ 0.0700 ,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,,,,,,,,,,,,,,,,
NOVA SCOTIA ,U.S.,$ 0.4123 ,$ 0.4096 ,$ 0.4123 ,$ 0.1862 ,$ 0.4096 ,$ 0.4096 ,$-,$-,$-,$-,$-,$ 0.4096 ,$-,$-,$-
,Can,$ 0.1550 ,$ 0.1540 ,$ 0.1550 ,$ 0.0700 ,$ 0.1540 ,$ 0.1540 ,$-,$-,$-,$-,$-,$ 0.1540 ,$-,$-,$-
,,,,,,,,,,,,,,,,
ONTARIO #5,U.S.,$ 0.2394 ,$ 0.2394 ,$ 0.2394 ,$ 0.1144 ,$-,$-,$ 0.2394 ,$-,$ 0.2394 ,$ 0.2394 ,$ 0.2394 ,$ 0.2394 ,$-,$-,$-
,Can,$ 0.0900 ,$ 0.0900 ,$ 0.0900 ,$ 0.0430 ,$-,$-,$ 0.0900 ,$-,$ 0.0900 ,$ 0.0900 ,$ 0.0900 ,$ 0.0900 ,$-,$-,$-
,,,,,,,,,,,,,,,,
PRINCE EDWARD ISLAND #27,U.S.,$ 0.2253 ,$ 0.3764 ,$ 0.2253 ,$-,$ 0.4062 ,$ 0.2253 ,$ 0.2253 ,$ 0.2253 ,$ 0.2253 ,$ 0.2253 ,$ 0.2253 ,$-,$-,$-,$-
,Can,$ 0.0847 ,$ 0.1415 ,$ 0.0847 ,$-,$ 0.1527 ,$ 0.0847 ,$ 0.0847 ,$ 0.0847 ,$ 0.0847 ,$ 0.0847 ,$ 0.0847 ,$-,$-,$-,$-
,,,,,,,,,,,,,,,,
QUEBEC ,U.S.,$ 0.5107 ,$ 0.5373 ,$ 0.5107 ,$-,$-,$-,$ 0.5373 ,$ 0.5107 ,$ 0.5373 ,$ 0.5107 ,$ 0.5373 ,$ 0.5373 ,$-,$-,$-
,Can,$ 0.1920 ,$ 0.2020 ,$ 0.1920 ,$-,$-,$-,$ 0.2020 ,$ 0.1920 ,$ 0.2020 ,$ 0.1920 ,$ 0.2020 ,$ 0.2020 ,$-,$-,$-
,,,,,,,,,,,,,,,,
SASKATCHEWAN ,U.S.,$ 0.3990 ,$ 0.3990 ,$ 0.3990 ,$ 0.2394 ,$-,$-,$ 0.3990 ,$ 0.3990 ,$ 0.3990 ,$ 0.3990 ,$ 0.3990 ,$ 0.3990 ,$-,$-,$-
,Can,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$ 0.0900 ,$-,$-,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$-,$-,$-
,,,,,,,,,,,,,,,,
