truck_id,state,miles
2013,AR,40.0
2013,AZ,4967.0
2013,CA,10886.0
2013,IA,13.0
2013,ID,646.0
2013,MO,485.0
2013,MT,711.0
2013,NE,460.0
2013,NM,775.0
2013,NV,3879.0
2013,OK,358.0
2013,OR,1497.0
2013,TX,1675.0
2013,UT,625.0
2013,WA,31.0
2013,WY,405.0
2016,AZ,5136.0
2016,CA,13181.0
2016,NE,660.0
2016,NM,319.0
2016,NV,6142.0
2016,OR,1857.0
2016,UT,395.0
2016,WA,304.0
2016,WY,806.0
2017,AL,534.0
2017,AR,1136.0
2017,AZ,3362.0
2017,CA,6986.0
2017,CO,69.0
2017,FL,435.0
2017,GA,751.0
2017,IA,13.0
2017,ID,1282.0
2017,IL,325.0
2017,IN,158.0
2017,KS,107.0
2017,KY,308.0
2017,MO,672.0
2017,MS,241.0
2017,NC,71.0
2017,NE,453.0
2017,NM,1555.0
2017,NV,3456.0
2017,OH,317.0
2017,OK,1261.0
2017,OR,2621.0
2017,SC,266.0
2017,TN,469.0
2017,TX,1657.0
2017,UT,1080.0
2017,WA,1282.0
2017,WY,460.0
2019,AZ,31.0
2019,CA,13592.0
2019,CO,455.0
2019,IA,621.0
2019,ID,958.0
2019,IL,250.0
2019,MT,347.0
2019,NE,813.0
2019,NV,2114.0
2019,OR,2040.0
2019,UT,798.0
2019,WA,368.0
2019,WI,171.0
2019,WY,387.0
