truck_id,state,gallons,tax_paid
2013,AZ,1269.0,0.0
2013,CA,1005.0,0.0
2013,MT,149.0,0.0
2013,NE,214.0,0.0
2013,NM,100.0,0.0
2013,NV,884.0,0.0
2013,OK,150.0,0.0
2013,OR,154.0,0.0
2013,TX,422.0,0.0
2013,WY,111.0,0.0
2016,AZ,1666.0,0.0
2016,CA,693.0,0.0
2016,NV,1443.0,0.0
2016,WY,305.0,0.0
2017,AR,269.0,0.0
2017,AZ,677.0,0.0
2017,CA,684.0,0.0
2017,FL,105.0,0.0
2017,ID,122.0,0.0
2017,KY,113.0,0.0
2017,MO,120.0,0.0
2017,MS,33.0,0.0
2017,NM,365.0,0.0
2017,NV,439.0,0.0
2017,OK,382.0,0.0
2017,OR,750.0,0.0
2017,SC,114.0,0.0
2017,TN,122.0,0.0
2017,TX,224.0,0.0
2017,UT,169.0,0.0
2017,WY,120.0,0.0
2019,AZ,154.0,0.0
2019,CA,1603.0,0.0
2019,CO,115.0,0.0
2019,IA,108.0,0.0
2019,ID,75.0,0.0
2019,MT,133.0,0.0
2019,NV,903.0,0.0
2019,OR,385.0,0.0
2019,WI,71.0,0.0
2019,WY,217.0,0.0
