truck_id,state,miles
2013,AR,363.0
2013,AZ,884.0
2013,CA,5023.0
2013,CO,69.0
2013,IA,892.0
2013,ID,273.0
2013,IL,369.0
2013,KS,85.0
2013,LA,161.0
2013,MO,569.0
2013,NE,2292.0
2013,NM,781.0
2013,NV,3313.0
2013,OR,1087.0
2013,TX,2527.0
2013,UT,1582.0
2013,WA,683.0
2013,WY,2105.0
2015,AL,211.0
2015,AR,432.0
2015,AZ,3819.0
2015,CA,9480.0
2015,GA,195.0
2015,IA,339.0
2015,IL,617.0
2015,IN,539.0
2015,KY,706.0
2015,LA,193.0
2015,MO,1507.0
2015,MS,223.0
2015,NE,1820.0
2015,NM,1697.0
2015,NV,2529.0
2015,OH,523.0
2015,OK,693.0
2015,PA,134.0
2015,TN,202.0
2015,TX,3186.0
2015,UT,796.0
2015,WV,46.0
2015,WY,1614.0
2017,AL,315.0
2017,AR,293.0
2017,AZ,3185.0
2017,CA,7848.0
2017,GA,224.0
2017,IA,970.0
2017,ID,545.0
2017,IL,626.0
2017,IN,538.0
2017,KS,833.0
2017,KY,423.0
2017,MN,247.0
2017,MO,372.0
2017,MS,154.0
2017,NE,2056.0
2017,NM,2264.0
2017,NV,2932.0
2017,OH,747.0
2017,OK,643.0
2017,OR,1014.0
2017,PA,117.0
2017,TN,174.0
2017,TX,3725.0
2017,UT,611.0
2017,WA,296.0
2017,WV,58.0
2017,WY,1718.0
2019,AZ,8799.0
2019,CA,10984.0
2019,KS,218.0
2019,NE,622.0
2019,NM,513.0
2019,NV,6482.0
2019,OK,236.0
2019,OR,594.0
2019,TX,1035.0
2019,UT,695.0
2019,WA,392.0
2019,WY,410.0
unknown,AZ,1374.0
unknown,CA,3462.0
unknown,CO,69.0
unknown,NM,390.0
unknown,NV,420.0
unknown,OR,228.0
unknown,TX,44.0
unknown,UT,423.0
